sec_sch_name, cutoff
Hwa Chong Institution,259
Raffles Girls' School,259
Methodist Girls' School,258
Nanyang Girls' High School,258
Raffles Institution,258
Dunman High School,256
National Junior College,256
CHIJ St. Nicholas Girls' School,255
Anglo-Chinese School (Independent),254
Catholic High School,254
Methodist Girls' SchoolO-levels,254
Cedar Girls' Secondary School,253
CHIJ St. Nicholas Girls' School O-levels,253
River Valley High School,252
Singapore Chinese Girls' School,252
Singapore Chinese Girls' School O-levels,252
Victoria School,252
Catholic High School O-levels,251
Anglo-Chinese School (Independent) O-levels,250
Cedar Girls' Secondary School,O-levels,25
Paya Lebar Methodist Girls' School,250
St. Joseph's Institution,250
Temasek Junior College,250
Anderson Secondary School,247
CHIJ Secondary (Toa Payoh),246
Victoria School,O-levels,24
Anglo-Chinese School (Barker Road),245
Bukit Panjang Govt. High School,245
Nan Hua High School,245
St. Joseph's Institution O-levels,245
Nan Chiau High School,244
Chung Cheng High School (Main),242
Crescent Girls' School,242
Fairfield Methodist School,242
St. Andrew's Secondary School,242
St. Margaret's Secondary School,242
Swiss Cottage Secondary School,242
Chung Cheng High School (Yishun),240
Anglican High School,239
Commonwealth Secondary School,239
Yishun Town Secondary School,239
CHIJ St. Theresa's Convent,238
Ngee Ann Secondary School,238
CHIJ St. Joseph's Convent,237
Maris Stella High School,237
Kuo Chuan Presbyterian Secondary School,236
Zhonghua Secondary School,236
Fuhua Secondary School,235
Presbyterian High School,235
Tanjong Katong Girls' School,235
Xinmin Secondary School,235
Clementi Town Secondary School,234
Riverside Secondary School,234
Temasek Secondary School,234
Holy Innocents' High School,233
Kranji Secondary School,233
Tanjong Katong Secondary School,233
Dunman Secondary School,231
Edgefield Secondary School,229
St. Patrick's School,229
Ang Mo Kio Secondary School,228
Bukit Batok Secondary School,228
Geylang Methodist School,228
Jurong Secondary School,228
CHIJ Katong Convent,227
Evergreen Secondary School,227
St. Anthony's Canossian Secondary School,227
Bowen Secondary School,226
Gan Eng Seng School,226
Hua Yi Secondary School,226
St. Gabriel's Secondary School,226
St. Hilda's Secondary School,226
Pei Hwa Secondary School,224
West Spring Secondary School,224
Hai Sing Catholic School,223
Ahmad Ibrahim Secondary School,222
Mayflower Secondary School,222
Deyi Secondary School,220
Queensway Secondary School,220
Pasir Ris Secondary School,219
Unity Secondary School,219
Pasir Ris Crest Secondary School,217
Woodlands Ring Secondary School,217
Bedok View Secondary School,216
Chua Chu Kang Secondary School,216
Beatty Secondary School,215
Yuan Ching Secondary School,215
Compassvale Secondary School,214
Kent Ridge Secondary School,214
North Vista Secondary School,214
Orchid Park Secondary School,212
Bukit View Secondary School,211
Peirce Secondary School,211
Zhenghua Secondary School,211
Bedok South Secondary School,210
Greendale Secondary School,210
Hillgrove Secondary School,210
Meridian Secondary School,210
Woodgrove Secondary School,210
Jurong West Secondary School,209
Montfort Secondary School,208
Tampines Secondary School,208
Christ Church Secondary School,207
Yishun Secondary School,207
Seng Kang Secondary School,205
Admiralty Secondary School,203
Naval Base Secondary School,203
Hougang Secondary School,202
Punggol Secondary School,201
Regent Secondary School,201
Jurongville Secondary School,197
Westwood Secondary School,196
Greenridge Secondary School,195
Canberra Secondary School,193
New Town Secondary School,193
Juying Secondary School,192
Peicai Secondary School,189
Queenstown Secondary School,189
Assumption English School,188
Bartley Secondary School,188
Bedok Green Secondary School,188
Bendemeer Secondary School,188
Boon Lay Secondary School,188
Broadrick Secondary School,188
Bukit Merah Secondary School,188
Changkat Changi Secondary School,188
Damai Secondary School,188
Dunearn Secondary School,188
East Spring Secondary School,188
Fajar Secondary School,188
Fuchun Secondary School,188
Guangyang Secondary School,188
Junyuan Secondary School,188
Loyang Secondary School,188
Manjusri Secondary School,188
Marsiling Secondary School,188
Northbrooks Secondary School,188
Northland Secondary School,188
Outram Secondary School,188
Ping Yi Secondary School,188
Sembawang Secondary School,188
Serangoon Garden Secondary School,188
Serangoon Secondary School,188
Springfield Secondary School,188
Tanglin Secondary School,188
Teck Whye Secondary School,188
Whitley Secondary School,188
Woodlands Secondary School,188
Yio Chu Kang Secondary School,188
Yuhua Secondary School,188
Yuying Secondary School,188